Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
ACF	F	Z	2024	0000000	20240904	154309	 	0000019200	Y	D	00010
CWF	F	U	2024	0000000	20240904	170957	 	0000027400	Y	D	00010
CWF	F	U	2024	0000000	20240904	170957	 	0000027400	Y	D	00010
CWF	F	V	2026	0000000	20240904	174251	 	0000028900	Y	D	00005
CWF	F	V	2026	0000000	20240904	174251	 	0000028900	Y	D	00005
CWF	F	V	2026	0000000	20240904	174327	 	0000028900	Y	D	00005
CWF	F	V	2026	0000000	20240904	174327	 	0000028900	Y	D	00005
CWF	F	V	2026	0000000	20240904	174327	 	0000028900	Y	D	00005
FEF	F	V	2024	0000000	20240904	152100	 	0000009355	Y	D	00100
FEF	F	X	2024	0000000	20240904	152100	 	0000009370	Y	D	00100
